FormattedDate,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC,precipitation,PrepType,TemperaturePerYr,AvgTempUncertainty,Apparent Temperature (C),TempMax,tempMin,wind,Wind Speed (km/h),WindBearing (degrees),Visibility (km),weather,DailySummary
2006-04-01 16:00:00.000 +0200,24.52,30.06,30.24,25.74,8.1,rain,15.38888889,1.355,15.38888889,3.3,0,5.6,14.4095,251,11.27,snow,Partly cloudy throughout the day.
2006-04-01 17:00:00.000 +0200,23.57,30.68,31.1,26.78,19.8,rain,15.55,1.178,15.55,0,-2.8,5,11.1573,230,11.4471,snow,Partly cloudy throughout the day.
2006-04-01 18:00:00.000 +0200,23.71,31.17,30.8,26.6,15.2,rain,14.25555556,1.301,14.25555556,-1.1,-2.8,1.6,8.5169,163,11.2056,snow,Partly cloudy throughout the day.
2006-04-01 19:00:00.000 +0200,23.64,30.4,31.08,27.45,13.5,rain,13.14444444,1.282,13.14444444,7.2,-1.1,2.3,7.6314,139,11.2056,snow,Partly cloudy throughout the day.
2006-04-01 20:00:00.000 +0200,23.91,32.05,30.81,26.43,3,rain,11.55,1.22,11.55,8.3,3.3,8.2,7.3899,147,11.0285,rain,Partly cloudy throughout the day.
2006-04-01 21:00:00.000 +0200,24.43,31.21,30.9,26.38,6.1,rain,11.18333333,1.178,11.18333333,6.7,2.2,4.8,4.9266,160,9.982,rain,Partly cloudy throughout the day.
2006-04-01 22:00:00.000 +0200,23.73,31.4,30.98,26.43,0,rain,10.11666667,1.719,10.11666667,8.3,1.1,3.6,6.6493,163,15.8263,rain,Partly cloudy throughout the day.
2006-04-01 23:00:00.000 +0200,23.94,31.44,30.96,26.49,8.6,rain,10.2,1.603,10.2,10,2.2,5.1,3.9284,152,14.9569,rain,Partly cloudy throughout the day.
2006-04-10 00:00:00.000 +0200,23.57,31.47,30.67,26.59,8.1,rain,10.42222222,1.249,10.42222222,8.9,4.4,5.4,16.9855,150,15.8263,rain,Mostly cloudy throughout the day.
2006-04-10 01:00:00.000 +0200,24.73,30.21,31.14,26.61,4.8,rain,9.911111111,1.218,7.566666667,8.9,1.1,4.8,17.2109,149,15.8263,rain,Mostly cloudy throughout the day.
2006-04-10 02:00:00.000 +0200,23.76,30.72,30.8,26.73,0,rain,11.18333333,1.428,11.18333333,6.7,-2.2,1.4,10.8192,163,14.9569,drizzle,Mostly cloudy throughout the day.
2006-04-10 03:00:00.000 +0200,24.21,31.51,31.14,26.74,0,rain,7.155555556,1.654,5.044444444,6.7,0.6,2.2,11.0768,180,15.8263,rain,Mostly cloudy throughout the day.
2006-04-10 04:00:00.000 +0200,23.53,31.72,31.03,26.28,27.7,rain,6.111111111,1.195,4.816666667,9.4,3.9,4.5,6.6493,161,15.8263,rain,Mostly cloudy throughout the day.
2006-04-10 05:00:00.000 +0200,23.2,30.94,30.98,26.9,3.6,rain,6.788888889,1.329,4.272222222,8.3,6.1,5.1,13.0088,135,14.9569,rain,Mostly cloudy throughout the day.
2006-04-10 06:00:00.000 +0200,24.55,31.71,31.16,26.97,1.8,rain,7.261111111,1.463,5.155555556,9.4,6.1,3.9,11.1734,141,6.1985,rain,Mostly cloudy throughout the day.
2006-04-10 07:00:00.000 +0200,24.51,31.17,31.25,27.18,13.5,rain,7.8,1.394,5.527777778,8.9,3.3,2.7,12.8156,150,8.05,rain,Mostly cloudy throughout the day.
2006-04-10 08:00:00.000 +0200,24.13,30.43,30.41,26.92,0,rain,9.872222222,1.121,7.933333333,8.3,1.7,2.6,13.7494,160,9.982,sun,Mostly cloudy throughout the day.
2006-04-10 09:00:00.000 +0200,24.53,31.28,31.22,26.94,0,rain,12.22222222,1.505,12.22222222,14.4,2.2,5.3,15.6331,150,9.982,sun,Mostly cloudy throughout the day.
2006-04-10 10:00:00.000 +0200,23.41,31.15,30.85,26.88,0,rain,15.09444444,1.409,15.09444444,15.6,5,4.3,17.549,151,9.982,sun,Mostly cloudy throughout the day.
2006-04-10 11:00:00.000 +0200,24.11,31.17,30.68,26.69,0,rain,17.35555556,2.358,17.35555556,13.9,1.7,2.9,22.7815,169,9.982,sun,Mostly cloudy throughout the day.
2006-04-10 12:00:00.000 +0200,24.13,30.84,31.22,26.26,0,rain,19.00555556,1.719,19.00555556,16.1,1.7,5,23.8924,169,9.982,sun,Mostly cloudy throughout the day.
2006-04-10 13:00:00.000 +0200,23.31,31.74,30.59,26.71,0.3,rain,20.04444444,1.603,20.04444444,15.6,7.8,5.3,28.3682,170,9.982,rain,Mostly cloudy throughout the day.
2006-04-10 14:00:00.000 +0200,24.25,30.76,31.06,27.05,2.8,rain,21.05,1.249,21.05,10,5,2.7,26.9031,187,10.3523,rain,Mostly cloudy throughout the day.
2006-04-10 15:00:00.000 +0200,24.46,30.66,30.93,27.24,2.5,rain,21.18333333,1.218,21.18333333,11.1,7.8,2.4,25.6956,179,9.982,rain,Mostly cloudy throughout the day.
2006-04-10 16:00:00.000 +0200,24.37,32.12,31.37,27.62,2.5,rain,20.11666667,1.428,20.11666667,12.8,6.7,3,25.3092,162,9.982,rain,Mostly cloudy throughout the day.
2006-04-10 17:00:00.000 +0200,24.03,31.8,30.99,27.23,0.8,rain,20.21666667,1.654,20.21666667,8.9,5.6,3.4,18.1125,161,10.3523,rain,Mostly cloudy throughout the day.
2006-04-10 18:00:00.000 +0200,24.03,30.8,30.83,27.33,1,rain,20,1.195,20,8.3,5,1.3,23.4255,160,9.982,rain,Mostly cloudy throughout the day.
2006-04-10 19:00:00.000 +0200,23.62,31.03,31.25,27.16,11.4,rain,17.8,1.329,17.8,7.2,4.4,1.4,20.0445,150,11.2056,rain,Mostly cloudy throughout the day.
2006-04-10 20:00:00.000 +0200,23.86,31.19,31.48,26.82,2.5,rain,16.06111111,1.463,16.06111111,6.7,1.1,3.1,21.3969,149,9.982,rain,Mostly cloudy throughout the day.
2006-04-10 21:00:00.000 +0200,25.49,31.5,31.23,27.3,0,rain,15.02222222,1.394,15.02222222,7.2,0.6,1.8,21.3808,159,9.982,drizzle,Mostly cloudy throughout the day.
2006-04-10 22:00:00.000 +0200,23.99,31.78,31.2,26.7,1.8,rain,14.42222222,1.121,14.42222222,7.2,3.3,2.1,20.0123,159,15.8263,rain,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0200,23.62,31.27,30.84,26.77,17.3,rain,14.25555556,1.505,14.25555556,10,4.4,3.4,16.5025,168,14.9569,rain,Mostly cloudy throughout the day.
2006-04-11 00:00:00.000 +0200,24.49,31.27,30.88,26.79,6.4,rain,13.77222222,1.409,13.77222222,6.7,3.9,8.1,17.0982,160,15.8263,rain,Foggy in the evening.
2006-04-11 01:00:00.000 +0200,24.02,30.72,30.48,26.58,0,rain,13.28333333,2.358,13.28333333,6.7,2.2,4.7,14.3612,160,15.8263,sun,Foggy in the evening.
2006-04-11 02:00:00.000 +0200,24.16,30.67,31.13,27.77,3,rain,8.633333333,1.27,5.466666667,7.8,1.7,2.9,22.0409,32,6.6976,rain,Foggy in the evening.
2006-04-11 03:00:00.000 +0200,25.17,31.13,31.11,27.26,0.8,rain,11.25,1.772,11.25,10,7.8,7.5,11.3344,152,15.8263,rain,Foggy in the evening.
2006-04-11 04:00:00.000 +0200,24.71,32.19,31.12,27.56,8.6,rain,11.18333333,1.071,11.18333333,10,2.8,5.9,11.2056,180,9.9015,rain,Foggy in the evening.
2006-04-11 05:00:00.000 +0200,24.2,31.89,30.9,26.46,0,rain,10.69444444,1.199,10.69444444,8.3,2.8,3.9,10.4006,161,6.6976,sun,Foggy in the evening.
2006-04-11 06:00:00.000 +0200,24.9,30.88,30.72,26.59,11.4,rain,11.11111111,1.526,11.11111111,6.7,4.4,3.5,12.0106,140,5.9731,rain,Foggy in the evening.
2006-04-11 07:00:00.000 +0200,24.4,31.53,30.25,26.37,0,rain,11.11111111,1.263,11.11111111,7.2,2.8,6.4,9.2092,103,10.8031,rain,Foggy in the evening.
2006-04-11 08:00:00.000 +0200,23.87,30.42,31.07,26.82,1.3,rain,12.16666667,1.206,12.16666667,5,-1.1,3.4,9.9015,113,10.6743,snow,Foggy in the evening.
2006-04-11 09:00:00.000 +0200,25.43,31.74,31.23,27.01,0,rain,12.75555556,1.213,12.75555556,6.7,-2.2,3,13.8299,129,10.8192,sun,Foggy in the evening.
2006-04-11 10:00:00.000 +0200,24.05,31.71,30.99,27.03,3.6,rain,13.83888889,1.161,13.83888889,6.7,-0.6,4.2,9.0965,159,10.8192,snow,Foggy in the evening.
2006-04-11 11:00:00.000 +0200,25.49,31.17,31.29,27.36,0.8,rain,16.18333333,1.257,16.18333333,5,1.1,7,0.644,207,10.7548,snow,Foggy in the evening.
2006-04-11 12:00:00.000 +0200,24.18,31.47,30.75,26.3,0,rain,17.51666667,1.274,17.51666667,6.1,1.1,3.1,0.6762,153,10.8997,sun,Foggy in the evening.
2006-04-11 13:00:00.000 +0200,24.24,31.31,31.08,26.65,2,rain,17.38333333,1.282,17.38333333,6.7,3.9,5.1,3.864,4,10.8514,rain,Foggy in the evening.
2006-04-11 14:00:00.000 +0200,24.73,30.94,31.28,27,0,rain,17.36111111,1.175,17.36111111,12.2,6.7,7,7.8246,341,11.0768,sun,Foggy in the evening.
2006-04-11 15:00:00.000 +0200,24.29,31.89,30.82,27.2,0,rain,17.20555556,1.123,17.20555556,10.6,6.7,5.6,15.5848,15,10.8514,rain,Foggy in the evening.
2006-04-11 16:00:00.000 +0200,24.67,30.73,31.37,27.61,6.9,rain,15.63333333,1.146,15.63333333,7.8,1.1,6.2,23.6992,348,10.8836,rain,Foggy in the evening.
2006-04-11 17:00:00.000 +0200,25.54,31.69,31.24,27.26,0.5,rain,13.57777778,1.329,13.57777778,6.7,0,2.7,20.9622,321,7.6153,snow,Foggy in the evening.
2006-04-11 18:00:00.000 +0200,25.31,31.04,31.32,26.9,0,rain,10.91111111,1.648,10.91111111,8.9,-1.7,2.7,22.3951,311,2.6565,sun,Foggy in the evening.
2006-04-11 19:00:00.000 +0200,23.68,31.24,31.55,27.19,0,rain,8.8,1.402,5.294444444,15.6,0.6,2.5,26.5006,339,2.6565,sun,Foggy in the evening.
2006-04-11 20:00:00.000 +0200,24.99,32.02,31.55,27.71,3.6,rain,8.961111111,1.224,5.777777778,9.4,5,2.8,23.2162,340,3.8157,rain,Foggy in the evening.
2006-04-11 21:00:00.000 +0200,25.19,32.03,31.16,27.5,10.4,rain,8.2,1.603,4.605555556,7.2,6.1,3.4,25.4219,330,4.4919,rain,Foggy in the evening.
2006-04-11 22:00:00.000 +0200,24.99,31.58,30.91,27.17,13.7,rain,7.688888889,1.249,3.722222222,6.7,2.8,5.8,28.1267,339,4.4436,rain,Foggy in the evening.
2006-04-11 23:00:00.000 +0200,24.49,31.49,31.67,27.21,19.3,rain,7.766666667,1.218,4.65,8.3,0.6,6.2,19.2878,339,5.6833,snow,Foggy in the evening.
2006-04-12 00:00:00.000 +0200,25.35,32.19,31.28,26.97,9.4,rain,8.2,1.428,5.072222222,5.6,0.6,5.3,20.447,341,3.1073,snow,Foggy overnight and breezy in the morning.
2006-04-12 01:00:00.000 +0200,24.34,31.92,31.39,27.03,8.6,rain,8.177777778,1.654,4.372222222,7.8,1.1,4.7,27.8691,19,3.2039,rain,Foggy overnight and breezy in the morning.
2006-04-12 02:00:00.000 +0200,24.12,31.62,30.66,26.99,23.9,rain,7.311111111,1.195,6.183333333,11.1,5.6,5.8,6.7459,277,14.0553,snow,Foggy overnight and breezy in the morning.
2006-04-12 03:00:00.000 +0200,24.61,31.45,31.09,27.76,8.4,rain,7.644444444,1.329,5.038888889,8.9,3.9,5.1,14.9086,9,6.118,rain,Foggy overnight and breezy in the morning.
2006-04-12 04:00:00.000 +0200,25.15,31.65,31.22,27.59,9.4,rain,6.622222222,1.463,2.616666667,10,0.6,3.8,25.0355,0,6.118,snow,Foggy overnight and breezy in the morning.
2006-04-12 05:00:00.000 +0200,24.36,31.57,31.11,27.64,3.6,rain,6.683333333,1.394,3.222222222,5,-0.6,2.7,19.8352,350,6.1663,rain,Foggy overnight and breezy in the morning.
2006-04-12 06:00:00.000 +0200,24.99,31.7,31.87,27.67,2,rain,6.088888889,1.121,1.65,7.2,-1.1,3,28.0945,349,7.9695,rain,Foggy overnight and breezy in the morning.
2006-04-12 07:00:00.000 +0200,25.21,32.2,31.36,27.51,3.6,rain,6.066666667,1.505,1.633333333,7.8,2.2,6.4,27.9818,348,6.3434,rain,Foggy overnight and breezy in the morning.
2006-04-12 08:00:00.000 +0200,24.9,31.64,31.34,27.24,1.3,rain,6.144444444,1.409,1.494444444,8.9,1.1,2.5,30.8637,349,10.5455,rain,Foggy overnight and breezy in the morning.
2006-04-12 09:00:00.000 +0200,24.51,30.79,31.55,27.26,4.1,rain,7.133333333,2.358,2.688888889,10,1.7,2.1,32.1678,349,11.2056,rain,Foggy overnight and breezy in the morning.
2006-04-12 10:00:00.000 +0200,24.62,30.84,31.48,27.23,0,rain,7.205555556,1.428,3.233333333,12.2,0.6,2.8,26.5328,339,11.27,sun,Foggy overnight and breezy in the morning.
2006-04-12 11:00:00.000 +0200,24.11,32.12,31.09,27.46,0,rain,7.566666667,1.654,3.544444444,15,3.3,5.2,28.336,339,10.5455,sun,Foggy overnight and breezy in the morning.
2006-04-12 12:00:00.000 +0200,25.29,32.51,31.28,27.35,0,rain,8.9,1.27,5.161111111,13.3,2.2,2.7,29.8333,348,11.27,rain,Foggy overnight and breezy in the morning.
2006-04-12 13:00:00.000 +0200,24.64,31.58,31.44,27.4,0,rain,9.961111111,1.772,6.644444444,12.8,6.1,4.3,28.4809,339,11.27,drizzle,Foggy overnight and breezy in the morning.
2006-04-12 14:00:00.000 +0200,25.07,31.37,32.24,27.82,4.8,rain,9.888888889,1.071,6.55,14.4,6.7,3.8,28.5131,338,11.0768,rain,Foggy overnight and breezy in the morning.
2006-04-12 15:00:00.000 +0200,25.39,31.75,31.34,27.76,1.3,rain,11.06666667,1.199,11.06666667,10.6,7.2,5.9,25.6956,320,11.27,rain,Foggy overnight and breezy in the morning.
2006-04-12 16:00:00.000 +0200,24.51,31.35,31.11,27.57,27.4,rain,10.11666667,1.526,10.11666667,10,6.1,4.4,25.3414,311,11.27,rain,Foggy overnight and breezy in the morning.
2006-04-12 17:00:00.000 +0200,25,30.84,31.18,27.5,5.6,rain,11.03888889,1.18,11.03888889,9.4,5,4.7,21.413,311,9.982,rain,Foggy overnight and breezy in the morning.
2006-04-12 18:00:00.000 +0200,24.74,31.46,31.45,27.4,13.2,rain,10.65,1.274,10.65,10,2.8,3.4,17.8549,310,14.9086,rain,Foggy overnight and breezy in the morning.
2006-04-12 19:00:00.000 +0200,24.6,31.32,31.28,27.49,1.5,rain,10.05,1.27,10.05,8.9,4.4,6.8,15.1984,328,9.982,rain,Foggy overnight and breezy in the morning.
2006-04-12 20:00:00.000 +0200,25.31,31.61,31.47,27.74,0,rain,9.9,1.235,7.716666667,16.7,4.4,3.1,15.7297,348,11.0285,sun,Foggy overnight and breezy in the morning.
2006-04-12 21:00:00.000 +0200,25.09,31.85,31.3,27.52,1.5,rain,8.794444444,1.253,6.816666667,11.7,3.3,3.1,12.3648,20,9.982,rain,Foggy overnight and breezy in the morning.
2006-04-12 22:00:00.000 +0200,25.68,32.4,32.01,28.52,0,rain,7.827777778,1.16,5.405555556,10.6,2.8,2.1,13.8943,28,15.8263,sun,Foggy overnight and breezy in the morning.
2006-04-12 23:00:00.000 +0200,26.3,32.07,31.19,27.29,4.6,rain,7.855555556,1.325,6.122222222,9.4,2.8,1.8,9.8049,11,15.0052,snow,Foggy overnight and breezy in the morning.
2006-04-13 00:00:00.000 +0200,24.63,31.26,31.77,26.65,0.3,rain,7.316666667,1.749,6.211111111,11.1,3.3,2.6,6.6654,326,15.8746,rain,Overcast throughout the day.
2006-04-13 01:00:00.000 +0200,24.96,31.89,31.75,27.83,0,rain,7.244444444,1.156,6.005555556,16.1,1.7,4.3,7.1162,309,15.8746,sun,Overcast throughout the day.
2006-04-13 02:00:00.000 +0200,25.16,32.45,31.55,27.95,0,rain,5.438888889,1.263,5.438888889,21.1,7.2,4.1,3.7191,193,9.982,sun,Overcast throughout the day.
2006-04-13 03:00:00.000 +0200,24.82,32.22,31.25,28.53,0,rain,7.2,1.206,4.55,20,6.1,2.1,14.4739,273,15.8263,sun,Overcast throughout the day.
2006-04-13 04:00:00.000 +0200,25.88,32.61,31.62,28.13,0,rain,6.688888889,1.213,3.161111111,17.8,8.9,3.2,20.5275,300,15.8263,rain,Overcast throughout the day.
2006-04-13 05:00:00.000 +0200,25.37,33.06,32.02,28.36,2.3,rain,6.211111111,1.161,2.694444444,11.1,7.2,2.6,19.3039,309,14.9569,rain,Overcast throughout the day.
2006-04-13 06:00:00.000 +0200,25.32,32.05,31.72,27.7,0.5,rain,6.111111111,1.257,2.8,13.9,5.6,2.6,17.4363,300,9.982,rain,Overcast throughout the day.
2006-04-13 07:00:00.000 +0200,25.47,32.69,31.42,27.65,0,rain,6.111111111,1.274,2.438888889,15,3.9,4,20.4148,300,9.982,drizzle,Overcast throughout the day.
2006-04-13 08:00:00.000 +0200,24.96,31.81,31.84,27.5,0,rain,6.172222222,1.218,2.922222222,15.6,3.3,3,17.0499,307,9.982,sun,Overcast throughout the day.
2006-04-13 09:00:00.000 +0200,27.44,32.08,31.39,27.78,0,rain,7.222222222,1.227,3.833333333,16.1,7.2,2.9,20.5114,319,9.982,rain,Overcast throughout the day.
2006-04-13 10:00:00.000 +0200,25.73,32.32,31.4,28.03,8.1,rain,7.288888889,1.158,4.244444444,13.3,6.7,5.8,17.6456,328,9.982,rain,Overcast throughout the day.
2006-04-13 11:00:00.000 +0200,24.72,32.11,31.25,28.29,1.8,rain,7.405555556,1.388,4.816666667,10,4.4,2,14.4095,318,9.982,rain,Overcast throughout the day.
2006-04-13 12:00:00.000 +0200,26.51,32.57,32.24,27.96,1.8,rain,7.961111111,1.964,6.072222222,13.3,7.2,3.9,10.7548,321,10.0464,rain,Overcast throughout the day.
2006-04-13 13:00:00.000 +0200,25.96,33.47,31.43,27.78,10.9,rain,8.033333333,1.201,7.583333333,13.9,5,2.6,4.8622,349,10.0464,rain,Overcast throughout the day.
2006-04-13 14:00:00.000 +0200,25.33,32.07,31.55,28.23,6.6,rain,9.077777778,1.236,9.077777778,13.3,6.7,2.7,2.3828,348,10.0303,rain,Overcast throughout the day.
2006-04-13 15:00:00.000 +0200,25.03,32.33,31.77,27.88,0,rain,9.05,1.27,9.05,20,4.4,2.3,0.322,243,9.982,sun,Overcast throughout the day.
2006-04-13 16:00:00.000 +0200,25.58,32.58,31.33,27.83,0,rain,9.05,1.235,9.05,23.3,8.3,2.6,3.2522,177,11.2056,rain,Overcast throughout the day.
2006-04-13 17:00:00.000 +0200,24.9,31.82,32,27.81,0,rain,9.183333333,1.253,9.183333333,21.7,8.9,3.5,3.0107,170,11.0285,sun,Overcast throughout the day.
2006-04-13 18:00:00.000 +0200,25.74,31.68,31.87,28.27,4.3,rain,9.072222222,1.16,7.455555556,13.9,10,2.8,10.465,172,9.982,rain,Overcast throughout the day.
2006-04-13 19:00:00.000 +0200,28.33,34.57,32.28,30.03,10.7,rain,7.983333333,1.325,6.811111111,16.7,8.9,2.6,7.3416,172,9.982,rain,Overcast throughout the day.
2006-04-13 20:00:00.000 +0200,27.95,34.13,32.41,29.69,3.8,rain,8.072222222,1.166,6.433333333,13.9,6.7,5.2,9.5151,150,9.982,rain,Overcast throughout the day.
2006-04-13 21:00:00.000 +0200,22.4,29.07,33.18,29.97,0.8,rain,7.894444444,1.198,6.127777778,13.3,6.1,4.8,9.9981,142,9.982,rain,Overcast throughout the day.
2006-04-13 22:00:00.000 +0200,24.93,29.77,32.91,29.12,0,rain,7.311111111,1.279,4.805555556,16.1,8.3,2.5,13.685,141,11.9784,drizzle,Overcast throughout the day.
2006-04-13 23:00:00.000 +0200,23.44,27.83,33,29.04,4.3,rain,7.338888889,1.824,5.183333333,15.6,8.9,1.6,11.5437,141,14.168,rain,Overcast throughout the day.
2006-04-14 00:00:00.000 +0200,22.5,28.21,32.07,29.2,4.3,rain,6.622222222,1.514,4.111111111,12.8,7.2,8,12.719,142,14.9086,rain,Mostly cloudy throughout the day.
2006-04-14 01:00:00.000 +0200,22,26.68,33.25,30.67,0.5,rain,6.066666667,1.445,3.411111111,11.7,6.1,6.4,12.8961,130,14.9086,rain,Mostly cloudy throughout the day.
2006-04-14 02:00:00.000 +0200,22.28,27.31,32.19,29.55,0.5,rain,8.338888889,1.299,8.338888889,13.3,5.6,2.5,0.6923,359,15.0052,rain,Mostly cloudy throughout the day.
2006-04-14 03:00:00.000 +0200,24.46,27.04,31.92,29.87,18.5,rain,5.183333333,1.419,4.111111111,11.1,7.2,3.4,5.5384,166,9.982,rain,Mostly cloudy throughout the day.
2006-04-14 04:00:00.000 +0200,23.57,28.86,33.12,29.35,1.8,rain,3.722222222,1.576,2.566666667,12.2,6.1,4.6,5.2003,145,9.982,rain,Mostly cloudy throughout the day.
2006-04-14 05:00:00.000 +0200,22.67,29.22,31.7,29.25,0,rain,4.855555556,1.32,3.705555556,13.3,5,2.3,5.6189,170,5.9248,sun,Mostly cloudy throughout the day.
2006-04-14 06:00:00.000 +0200,23.24,28.48,31.84,28.91,0,rain,5.211111111,1.264,5.211111111,17.8,5,2.4,4.7656,178,1.2236,sun,Mostly cloudy throughout the day.
2006-04-14 07:00:00.000 +0200,23.22,27.04,32.23,29.43,0,rain,6.255555556,1.272,4.638888889,23.9,6.1,2.2,7.9212,223,7.2128,sun,Mostly cloudy throughout the day.
2006-04-14 08:00:00.000 +0200,23.7,28.7,33.18,29.64,0,rain,7.794444444,1.199,6.055555556,18.3,9.4,3,9.7566,240,10.6743,sun,Mostly cloudy throughout the day.
2006-04-14 09:00:00.000 +0200,23.71,27.62,32.23,29.42,0,rain,10.05,1.304,10.05,13.3,6.7,3.9,9.6922,231,11.2056,rain,Mostly cloudy throughout the day.
2006-04-14 10:00:00.000 +0200,24.42,28.01,32.67,28.63,0,rain,12.2,1.389,12.2,14.4,3.9,3,14.49,230,9.982,sun,Mostly cloudy throughout the day.
2006-04-14 11:00:00.000 +0200,22.6,27.62,33.1,30.08,0,rain,12.7,1.587,12.7,18.3,4.4,4.3,20.3343,214,11.0285,sun,Mostly cloudy throughout the day.
2006-04-14 12:00:00.000 +0200,24.13,30.21,31.78,28.98,0,rain,13.93333333,1.372,13.93333333,24.4,6.7,3.4,23.5865,222,11.27,sun,Mostly cloudy throughout the day.
2006-04-14 13:00:00.000 +0200,23.68,27.86,31.44,27.9,0,rain,15.09444444,1.295,15.09444444,25.6,9.4,4.2,22.2985,241,11.27,sun,Mostly cloudy throughout the day.
2006-04-14 14:00:00.000 +0200,22.06,27.95,31.82,30.06,0,rain,15.15,1.278,15.15,26.7,12.8,3.8,14.7154,235,11.4471,sun,Mostly cloudy throughout the day.
2006-04-14 15:00:00.000 +0200,23.32,28.58,32.48,29.44,0,rain,16.17777778,1.156,16.17777778,24.4,9.4,4.1,14.49,238,11.27,drizzle,Mostly cloudy throughout the day.
2006-04-14 16:00:00.000 +0200,22.87,28.11,32.18,30.03,0,rain,16.25,1.158,16.25,19.4,9.4,3.5,14.7154,211,11.27,sun,Mostly cloudy throughout the day.
2006-04-14 17:00:00.000 +0200,23.57,30.04,32.4,28.51,0,rain,16.29444444,1.196,16.29444444,17.8,6.7,2.9,19.5937,221,11.4471,rain,Mostly cloudy throughout the day.
2006-04-14 18:00:00.000 +0200,22.96,29.37,32.44,28.81,0,rain,16.1,1.217,16.1,15.6,7.8,3.1,14.8281,215,11.1251,rain,Mostly cloudy throughout the day.
2006-04-14 19:00:00.000 +0200,23.25,28.61,33.56,28.57,0,rain,12.95555556,1.282,12.95555556,19.4,7.2,1.5,11.9784,224,11.27,sun,Mostly cloudy throughout the day.
2006-04-14 20:00:00.000 +0200,22.84,29.89,33.26,29.43,6.4,rain,13.85,1.175,13.85,14.4,11.7,1.3,11.5598,231,11.4471,rain,Mostly cloudy throughout the day.
2006-04-14 21:00:00.000 +0200,22.56,29.32,31.88,29.43,14,rain,12.77777778,1.123,12.77777778,16.7,10,4,14.2485,358,10.0464,rain,Mostly cloudy throughout the day.
2006-04-14 22:00:00.000 +0200,23.54,27.8,33.56,29.38,6.1,rain,12.15,1.146,12.15,12.8,8.9,4.8,11.2539,8,15.8746,rain,Mostly cloudy throughout the day.
